ligand,receptor,pathway,signaling_type
WNT5A,EPHA7,nan,Secreted Signaling
WNT5A,ANTXR1,nan,Secreted Signaling
TNFSF9,TNFRSF9,nan,Secreted Signaling
TNFSF9,IL13RA2,nan,Secreted Signaling
TNFSF9,ADGRG5,nan,Secreted Signaling
DDC,HTR2B,nan,Secreted Signaling
CCL11,CCR2,nan,Secreted Signaling
CCL8,CCR2,nan,Secreted Signaling
CCL7,CCR2,nan,Secreted Signaling
CCL13,CCR2,nan,Secreted Signaling
CCL26,CCR2,nan,Secreted Signaling
ASIP,MC1R,nan,Secreted Signaling
CXCL5,ACKR1,nan,Secreted Signaling
AKR1B1,PTGFR,nan,Secreted Signaling
CBR1,PTGFR,nan,Secreted Signaling
FAM213B,PTGFR,nan,Secreted Signaling
PTGES,PTGER3,nan,Secreted Signaling
PTGES2,PTGER3,nan,Secreted Signaling
PTGES3,PTGER3,nan,Secreted Signaling
GHRL,PTGER3,nan,Secreted Signaling
PTGES,PTGER2,nan,Secreted Signaling
PTGES2,PTGER2,nan,Secreted Signaling
PTGES3,PTGER2,nan,Secreted Signaling
PTGIS,PTGIR,nan,Secreted Signaling
GHRL,PTGIR,nan,Secreted Signaling
NAMPT,IL13RA2,nan,Secreted Signaling
NAMPT,P2RY6,nan,Secreted Signaling
CXCL9,KIR2DL3,nan,Secreted Signaling
FAM3C,KIR2DL3,nan,Secreted Signaling
FAM19A1,GPR1,nan,Secreted Signaling
RARRES2,GPR1,nan,Secreted Signaling
CCL7,CCR10,nan,Secreted Signaling
CCL28,CCR10,nan,Secreted Signaling
CCL27,CCR10,nan,Secreted Signaling
XCL1,XCR1,nan,Secreted Signaling
XCL2,XCR1,nan,Secreted Signaling
DDC,HTR3A,nan,Secreted Signaling
NOV,NOTCH1,nan,Secreted Signaling
WNT4,NOTCH1,nan,Secreted Signaling
NOTCH1,JAG1,nan,Cell-Cell Contact
NOTCH1,DLK1,nan,Cell-Cell Contact
NOTCH1,CNTN1,nan,Cell-Cell Contact
NOTCH1,DLL4,nan,Cell-Cell Contact
NOTCH1,DLL3,nan,Cell-Cell Contact
NOTCH1,JAG2,nan,Cell-Cell Contact
DDC,HTR5A,nan,Secreted Signaling
XCL1,ADGRV1,nan,Secreted Signaling
CXCL12,CXCR3,nan,Secreted Signaling
CXCL12,CXCR4,nan,Secreted Signaling
NPW,NPBWR1,nan,Secreted Signaling
NPB,NPBWR1,nan,Secreted Signaling
NPW,NPBWR2,nan,Secreted Signaling
NPB,NPBWR2,nan,Secreted Signaling
FAM19A4,LEPR,nan,Secreted Signaling
NMU,NMUR2,nan,Secreted Signaling
NMU,NMUR1,nan,Secreted Signaling
PTH2,PTH2R,nan,Secreted Signaling
CX3CL1,CX3CR1,nan,Secreted Signaling
COPA,MTNR1B,nan,Secreted Signaling
CCL20,CXCR3,nan,Secreted Signaling
CXCL9,CXCR3,nan,Secreted Signaling
CCL19,CXCR3,nan,Secreted Signaling
PRLH,PRLHR,nan,Secreted Signaling
C10orf99,GPR15,nan,Secreted Signaling
DDC,HTR6,nan,Secreted Signaling
TNFSF10,RIPK1,nan,Secreted Signaling
TNFSF10,TNFRSF10D,nan,Secreted Signaling
INSL3,RXFP2,nan,Secreted Signaling
INSL3,RXFP1,nan,Secreted Signaling
CCL11,CCR3,nan,Secreted Signaling
CCL11,ACKR4,nan,Secreted Signaling
CCL8,CCR3,nan,Secreted Signaling
CCL7,CCR3,nan,Secreted Signaling
CCL14,CCR3,nan,Secreted Signaling
CCL15,CCR3,nan,Secreted Signaling
CCL13,CCR3,nan,Secreted Signaling
CCL28,CCR3,nan,Secreted Signaling
CCL26,CCR3,nan,Secreted Signaling
CCL17,CCR4,nan,Secreted Signaling
CCL8,CCR5,nan,Secreted Signaling
CCL7,CCR5,nan,Secreted Signaling
CCL20,CCR6,nan,Secreted Signaling
CCL18,CCR8,nan,Secreted Signaling
EFNA3,EPHA5,nan,Cell-Cell Contact
EFNA3,EPHA4,nan,Cell-Cell Contact
EFNA3,EPHA7,nan,Cell-Cell Contact
EFNA4,EPHA5,nan,Secreted Signaling
EFNA4,EPHA4,nan,Secreted Signaling
EFNA4,EPHA7,nan,Secreted Signaling
EFNB2,EPHB3,nan,Cell-Cell Contact
EFNB2,EPHB4,nan,Cell-Cell Contact
EFNB2,EPHB1,nan,Cell-Cell Contact
EFNB2,EPHA4,nan,Cell-Cell Contact
EFNA5,EPHA5,nan,Cell-Cell Contact
EFNA5,EPHA4,nan,Cell-Cell Contact
EFNA5,EPHA7,nan,Cell-Cell Contact
COL4A4,ITGB1_ITGA10,nan,Secreted Signaling
COL4A4,ITGB1_ITGA11,nan,Secreted Signaling
COL4A4,ITGB1_ITGA1,nan,Secreted Signaling
COL4A4,ITGB1_ITGA2,nan,Secreted Signaling
COPA,P2RY6,nan,Secreted Signaling
COPA,SORT1,nan,Secreted Signaling
EPHB3,EFNB1,nan,Cell-Cell Contact
EPHB3,EFNB3,nan,Cell-Cell Contact
EPHB4,EFNB1,nan,Cell-Cell Contact
EPHB4,EFNB3,nan,Cell-Cell Contact
EPHB1,EFNB1,nan,Cell-Cell Contact
EPHB1,EFNB3,nan,Cell-Cell Contact
EPHA4,EFNB1,nan,Cell-Cell Contact
EPHA4,EFNB3,nan,Cell-Cell Contact
UCN,CRHR2,nan,Secreted Signaling
INHBC,ACVR2B,nan,Secreted Signaling
CDH6,CDH6,nan,Cell-Cell Contact
WNT3A,LRP1,nan,Secreted Signaling
WNT4,SMO,nan,Secreted Signaling
NRG3,ERBB4,nan,Secreted Signaling
JAM2,JAM3,nan,Cell-Cell Contact
JAM2,ITGB1_ITGA4,nan,Cell-Cell Contact
INHBE,ACVR2B,nan,Secreted Signaling
PROK1,PROKR2,nan,Secreted Signaling
PROK1,PROKR1,nan,Secreted Signaling
LILRA4,BST2,nan,Cell-Cell Contact
TGFB2,TGFBR3,nan,Secreted Signaling
TGFB2,TGFBR1_TGFBR2,nan,Secreted Signaling
TGFB2,TGFBR2_ACVR1,nan,Secreted Signaling
FAM3C,CXADR,nan,Secreted Signaling
SIRPA,CD47,nan,Cell-Cell Contact
JAG1,NOTCH2,nan,Cell-Cell Contact
JAG1,NOTCH4,nan,Cell-Cell Contact
JAG1,NOTCH3,nan,Cell-Cell Contact
RELN,VLDLR,nan,Secreted Signaling
RELN,LRP8,nan,Secreted Signaling
CCL8,ACKR1,nan,Secreted Signaling
CCL7,ACKR1,nan,Secreted Signaling
LCN2,SLC22A17,nan,Secreted Signaling
DLK1,NOTCH2,nan,Cell-Cell Contact
DLK1,NOTCH4,nan,Cell-Cell Contact
DLK1,NOTCH3,nan,Cell-Cell Contact
QRFP,QRFPR,nan,Secreted Signaling
PDGFD,PDGFRA_PDGFRB,nan,Secreted Signaling
SHH,PTCH2_BOC,nan,Secreted Signaling
SHH,PTCH2_CDON,nan,Secreted Signaling
SHH,PTCH2_GAS1,nan,Secreted Signaling
IHH,PTCH1_BOC,nan,Secreted Signaling
SHH,PTCH1_BOC,nan,Secreted Signaling
IHH,PTCH1_CDON,nan,Secreted Signaling
SHH,PTCH1_CDON,nan,Secreted Signaling
IHH,PTCH1_GAS1,nan,Secreted Signaling
SHH,PTCH1_GAS1,nan,Secreted Signaling
PLXNA1_KDR,SEMA6D,nan,Cell-Cell Contact
PLXNA1_TREM2_TYROBP,SEMA6D,nan,Cell-Cell Contact
SEMA3A,NRP1_PLXNA1,nan,Secreted Signaling
SEMA3A,NRP1_PLXNA2,nan,Secreted Signaling
NRP1_PLXNA2,SEMA6A,nan,Cell-Cell Contact
SEMA3A,NRP1_PLXNA3,nan,Secreted Signaling
SEMA3A,NRP1_PLXNA4,nan,Secreted Signaling
AKR1C3,PTGDR,nan,Secreted Signaling
AKR1C3,PTGDR2,nan,Secreted Signaling
COL4A3,ITGB1_ITGA10,nan,Secreted Signaling
COL4A3,ITGB1_ITGA11,nan,Secreted Signaling
COL4A3,ITGB1_ITGA1,nan,Secreted Signaling
COL4A3,ITGB1_ITGA2,nan,Secreted Signaling
TNFSF13B,TNFRSF17,nan,Secreted Signaling
NRG1,ERBB4,nan,Secreted Signaling
NRG1,LSR,nan,Secreted Signaling
NRG1,NETO2,nan,Secreted Signaling
NRG1,MS4A4A,nan,Secreted Signaling
NRG1,LGR4,nan,Secreted Signaling
NRG1,ITGB4_ITGA6,nan,Secreted Signaling
COL7A1,ITGB1_ITGA10,nan,Secreted Signaling
COL7A1,ITGB1_ITGA11,nan,Secreted Signaling
COL7A1,ITGB1_ITGA1,nan,Secreted Signaling
COL7A1,ITGB1_ITGA2,nan,Secreted Signaling
DSG1,DSC2,nan,Cell-Cell Contact
DSG1,DSC1,nan,Cell-Cell Contact
DSG1,DSC3,nan,Cell-Cell Contact
DSC2,DSG2,nan,Cell-Cell Contact
GHRL,GHRHR,nan,Secreted Signaling
ANGPT1,TEK,nan,Secreted Signaling
ANGPT4,TEK,nan,Secreted Signaling
FAM19A4,TGFBR3,nan,Secreted Signaling
PLAUR,ITGB1_ITGA4,nan,Secreted Signaling
PLAUR,ITGAV_ITGB3,nan,Secreted Signaling
PTH2,PTH1R,nan,Secreted Signaling
COL10A1,ITGB1_ITGA10,nan,Secreted Signaling
COL10A1,ITGB1_ITGA11,nan,Secreted Signaling
COL10A1,ITGB1_ITGA1,nan,Secreted Signaling
COL10A1,ITGB1_ITGA2,nan,Secreted Signaling
NOTCH2,CNTN1,nan,Cell-Cell Contact
IL24,NOTCH2,nan,Secreted Signaling
NOTCH2,DLL4,nan,Cell-Cell Contact
NOTCH2,DLL3,nan,Cell-Cell Contact
NOTCH2,JAG2,nan,Cell-Cell Contact
COL14A1,ITGB1_ITGA10,nan,Secreted Signaling
COL14A1,ITGB1_ITGA11,nan,Secreted Signaling
COL14A1,ITGB1_ITGA1,nan,Secreted Signaling
COL14A1,ITGB1_ITGA2,nan,Secreted Signaling
GAS6,TYRO3,nan,Secreted Signaling
COL16A1,ITGB1_ITGA10,nan,Secreted Signaling
COL16A1,ITGB1_ITGA11,nan,Secreted Signaling
COL16A1,ITGB1_ITGA1,nan,Secreted Signaling
COL16A1,ITGB1_ITGA2,nan,Secreted Signaling
ERFE,LRP1,nan,Secreted Signaling
DSC1,DSG2,nan,Cell-Cell Contact
CD47,SIRPG,nan,Cell-Cell Contact
CD47,SIRPB1_TYROBP,nan,Cell-Cell Contact
GAS6,MERTK,nan,Secreted Signaling
IL16,GRIN2A,nan,Secreted Signaling
KLRB1,CLEC2D,nan,Cell-Cell Contact
IL24,ESR2,nan,Secreted Signaling
IL16,GRIN2B,nan,Secreted Signaling
UCN3,CRHR2,nan,Secreted Signaling
UCN2,CRHR2,nan,Secreted Signaling
PTPRS,NTRK3,nan,Cell-Cell Contact
MADCAM1,ITGB7_ITGA4,nan,Cell-Cell Contact
SEMA5A,PLXNB3,nan,Cell-Cell Contact
DDC,HTR4,nan,Secreted Signaling
IL16,GRIN2C,nan,Secreted Signaling
COL4A6,ITGB1_ITGA10,nan,Secreted Signaling
COL4A6,ITGB1_ITGA11,nan,Secreted Signaling
COL4A6,ITGB1_ITGA1,nan,Secreted Signaling
COL4A6,ITGB1_ITGA2,nan,Secreted Signaling
COL9A3,ITGB1_ITGA10,nan,Secreted Signaling
COL9A3,ITGB1_ITGA11,nan,Secreted Signaling
COL9A3,ITGB1_ITGA1,nan,Secreted Signaling
COL9A3,ITGB1_ITGA2,nan,Secreted Signaling
COL9A2,ITGB1_ITGA10,nan,Secreted Signaling
COL9A2,ITGB1_ITGA11,nan,Secreted Signaling
COL9A2,ITGB1_ITGA1,nan,Secreted Signaling
COL9A2,ITGB1_ITGA2,nan,Secreted Signaling
DSG2,DSC3,nan,Cell-Cell Contact
ICAM4,ITGB2_ITGAL,nan,Secreted Signaling
COL19A1,ITGB1_ITGA10,nan,Secreted Signaling
COL19A1,ITGB1_ITGA11,nan,Secreted Signaling
COL19A1,ITGB1_ITGA1,nan,Secreted Signaling
COL19A1,ITGB1_ITGA2,nan,Secreted Signaling
FAM3C,PDCD1,nan,Secreted Signaling
PDCD1LG2,PDCD1,nan,Secreted Signaling
PDCD1,CD274,nan,Cell-Cell Contact
NECTIN1,CADM3,nan,Cell-Cell Contact
NECTIN4,NECTIN1,nan,Secreted Signaling
NECTIN1,NECTIN3,nan,Cell-Cell Contact
NRG4,ERBB4,nan,Secreted Signaling
HBEGF,ERBB4,nan,Secreted Signaling
KISS1,KISS1R,nan,Secreted Signaling
ENHO,GPR19,nan,Secreted Signaling
CD226,NECTIN2,nan,Cell-Cell Contact
ADIPOQ,PROKR2,nan,Secreted Signaling
ADIPOQ,CD200R1,nan,Secreted Signaling
ADIPOQ,GPR152,nan,Secreted Signaling
ADIPOQ,CLEC2D,nan,Secreted Signaling
CCL17,ACKR1,nan,Secreted Signaling
NTN4,NTRK2,nan,Secreted Signaling
LAMA3,ITGB1_ITGA3,nan,Secreted Signaling
COL24A1,ITGB1_ITGA10,nan,Secreted Signaling
COL24A1,ITGB1_ITGA11,nan,Secreted Signaling
COL24A1,ITGB1_ITGA1,nan,Secreted Signaling
COL24A1,ITGB1_ITGA2,nan,Secreted Signaling
RSPO4,LGR4,nan,Secreted Signaling
RSPO4,LGR6,nan,Secreted Signaling
RSPO1,LGR4,nan,Secreted Signaling
RSPO1,LGR6,nan,Secreted Signaling
COL28A1,ITGB1_ITGA10,nan,Secreted Signaling
COL28A1,ITGB1_ITGA11,nan,Secreted Signaling
COL28A1,ITGB1_ITGA1,nan,Secreted Signaling
COL28A1,ITGB1_ITGA2,nan,Secreted Signaling
TIGIT,NECTIN2,nan,Cell-Cell Contact
TIGIT,NECTIN3,nan,Cell-Cell Contact
NMS,NMUR2,nan,Secreted Signaling
NMS,NMUR1,nan,Secreted Signaling
TREML2,CD276,nan,Cell-Cell Contact
ARTN,RET_GFRA1,nan,Secreted Signaling
ARTN,RET_GFRA3,nan,Secreted Signaling
COL13A1,ITGB1_ITGA10,nan,Cell-Cell Contact
COL13A1,ITGB1_ITGA11,nan,Cell-Cell Contact
COL13A1,ITGB1_ITGA1,nan,Cell-Cell Contact
COL13A1,ITGB1_ITGA2,nan,Cell-Cell Contact
LAIR1,LILRB4,nan,Cell-Cell Contact
CSPG4,ITGB1_ITGA3,nan,Cell-Cell Contact
IGFL1,IGFLR1,nan,Secreted Signaling
C10orf99,SUSD2,nan,Secreted Signaling
IGFL2,IGFLR1,nan,Secreted Signaling
VSTM1,ADGRG3,nan,Secreted Signaling
IGFL3,IGFLR1,nan,Secreted Signaling
CXCL17,GPR35,nan,Secreted Signaling
GDF15,GFRAL,nan,Secreted Signaling
RSPO2,LGR4,nan,Secreted Signaling
RSPO2,LGR6,nan,Secreted Signaling
NTN4,UNC5D,nan,Secreted Signaling
DDC,HTR3D,nan,Secreted Signaling
UTS2B,UTS2R,nan,Secreted Signaling
ADM2,CALCRL_RAMP2,nan,Secreted Signaling
ADM2,RAMP3_CALCRL_GPER1,nan,Secreted Signaling
BTLA,TNFRSF14,nan,Cell-Cell Contact
IFNE,ADGRV1,nan,Secreted Signaling
IFNE,IFNAR1_IFNAR2,nan,Secreted Signaling
IFNL1,IL10RB_IFNLR1,nan,Secreted Signaling
COL27A1,ITGB1_ITGA10,nan,Secreted Signaling
COL27A1,ITGB1_ITGA11,nan,Secreted Signaling
COL27A1,ITGB1_ITGA1,nan,Secreted Signaling
COL27A1,ITGB1_ITGA2,nan,Secreted Signaling
FAM3C,ADGRG5,nan,Secreted Signaling
IFNL3,IL10RB_IFNLR1,nan,Secreted Signaling
IFNL2,IL10RB_IFNLR1,nan,Secreted Signaling
NTN4,UNC5B,nan,Secreted Signaling
CADM3,CADM4,nan,Cell-Cell Contact
CADM3,CADM1,nan,Cell-Cell Contact
CADM3,NECTIN3,nan,Cell-Cell Contact
PROK2,PROKR2,nan,Secreted Signaling
COL22A1,ITGB1_ITGA10,nan,Secreted Signaling
COL22A1,ITGB1_ITGA11,nan,Secreted Signaling
COL22A1,ITGB1_ITGA1,nan,Secreted Signaling
COL22A1,ITGB1_ITGA2,nan,Secreted Signaling
CCL4L2,GPR152,nan,Secreted Signaling
CCL4L2,GPR101,nan,Secreted Signaling
CCL4L2,VSIR,nan,Secreted Signaling
PROK2,PROKR1,nan,Secreted Signaling
RLN3,RXFP4,nan,Secreted Signaling
INSL5,RXFP4,nan,Secreted Signaling
DDC,HTR3C,nan,Secreted Signaling
RLN3,RXFP2,nan,Secreted Signaling
RLN3,RXFP1,nan,Secreted Signaling
RLN3,RXFP3,nan,Secreted Signaling
CLEC2B,KLRF1,nan,Cell-Cell Contact
FAM3C,CLEC2D,nan,Secreted Signaling
FAM19A4,SORL1,nan,Secreted Signaling
NECTIN2,NECTIN3,nan,Cell-Cell Contact
FAM19A4,PTPRU,nan,Secreted Signaling
CLCF1,ESR2,nan,Secreted Signaling
ALDH1A1,RORB,nan,Secreted Signaling
ALDH1A2,RORB,nan,Secreted Signaling
ALDH1A3,RORB,nan,Secreted Signaling
EDA,EDA2R,nan,Secreted Signaling
EDA,EDAR,nan,Secreted Signaling
LEAP2,GHSR,nan,Secreted Signaling
GHRL,GHSR,nan,Secreted Signaling
TSLP,IL7R_CRLF2,nan,Secreted Signaling
COL26A1,ITGB1_ITGA10,nan,Secreted Signaling
COL26A1,ITGB1_ITGA11,nan,Secreted Signaling
COL26A1,ITGB1_ITGA1,nan,Secreted Signaling
COL26A1,ITGB1_ITGA2,nan,Secreted Signaling
ESAM,ESAM,nan,Cell-Cell Contact
FAM19A4,MRC2,nan,Secreted Signaling
NELL2,ROBO3,nan,Secreted Signaling
COL21A1,ITGB1_ITGA10,nan,Secreted Signaling
COL21A1,ITGB1_ITGA11,nan,Secreted Signaling
COL21A1,ITGB1_ITGA1,nan,Secreted Signaling
COL21A1,ITGB1_ITGA2,nan,Secreted Signaling
SCGB3A1,MARCO,nan,Secreted Signaling
SCGB3A1,NOTCH3,nan,Secreted Signaling
TNFSF13B,TNFRSF13C,nan,Secreted Signaling
NOTCH4,DLL4,nan,Cell-Cell Contact
NOTCH4,DLL3,nan,Cell-Cell Contact
NOTCH4,JAG2,nan,Cell-Cell Contact
COL12A1,ITGB1_ITGA10,nan,Secreted Signaling
COL12A1,ITGB1_ITGA11,nan,Secreted Signaling
COL12A1,ITGB1_ITGA1,nan,Secreted Signaling
COL12A1,ITGB1_ITGA2,nan,Secreted Signaling
CCL19,ACKR4,nan,Secreted Signaling
NRTN,RET_GFRA2,nan,Secreted Signaling
RARRES2,CMKLR1,nan,Secreted Signaling
OMD,ITGAV_ITGB3,nan,Secreted Signaling
JAM3,JAM3,nan,Cell-Cell Contact
JAM3,ITGB2_ITGAM,nan,Secreted Signaling
RSPO3,LGR4,nan,Secreted Signaling
RSPO3,LGR6,nan,Secreted Signaling
CADM1,CADM1,nan,Cell-Cell Contact
CADM1,NECTIN3,nan,Cell-Cell Contact
GHRL,ACE2,nan,Secreted Signaling
NPVF,NPFFR1,nan,Secreted Signaling
SEMA4A,PLXND1,nan,Cell-Cell Contact
CRLF2,IL7R_CRLF2,nan,Secreted Signaling
DLL4,NOTCH3,nan,Cell-Cell Contact
INSL5,RXFP3,nan,Secreted Signaling
DLL3,NOTCH3,nan,Cell-Cell Contact
IL37,IL1RAPL1,nan,Secreted Signaling
IFNK,IFNAR1_IFNAR2,nan,Secreted Signaling
COL20A1,ITGB1_ITGA10,nan,Secreted Signaling
COL20A1,ITGB1_ITGA11,nan,Secreted Signaling
COL20A1,ITGB1_ITGA1,nan,Secreted Signaling
COL20A1,ITGB1_ITGA2,nan,Secreted Signaling
CDH7,CDH7,nan,Cell-Cell Contact
NOTCH3,JAG2,nan,Cell-Cell Contact
COL17A1,ITGB1_ITGA10,nan,Secreted Signaling
COL17A1,ITGB1_ITGA11,nan,Secreted Signaling
COL17A1,ITGB1_ITGA1,nan,Secreted Signaling
COL17A1,ITGB1_ITGA2,nan,Secreted Signaling
TNFSF18,TNFRSF18,nan,Secreted Signaling
F11R,ITGB2_ITGAL,nan,Cell-Cell Contact
ALDH1A1,RARA_CRABP2,nan,Secreted Signaling
ALDH1A2,RARA_CRABP2,nan,Secreted Signaling
ALDH1A3,RARA_CRABP2,nan,Secreted Signaling
ALDH1A1,RARA_RXRA_CRABP2,nan,Secreted Signaling
ALDH1A2,RARA_RXRA_CRABP2,nan,Secreted Signaling
ALDH1A3,RARA_RXRA_CRABP2,nan,Secreted Signaling
ALDH1A1,RARB_CRABP2,nan,Secreted Signaling
ALDH1A2,RARB_CRABP2,nan,Secreted Signaling
ALDH1A3,RARB_CRABP2,nan,Secreted Signaling
ALDH1A1,RARB_RXRB_CRABP2,nan,Secreted Signaling
ALDH1A2,RARB_RXRB_CRABP2,nan,Secreted Signaling
ALDH1A3,RARB_RXRB_CRABP2,nan,Secreted Signaling
ALDH1A1,RARG_CRABP2,nan,Secreted Signaling
ALDH1A2,RARG_CRABP2,nan,Secreted Signaling
ALDH1A3,RARG_CRABP2,nan,Secreted Signaling
ALDH1A1,RARG_RXRG_CRABP2,nan,Secreted Signaling
ALDH1A2,RARG_RXRG_CRABP2,nan,Secreted Signaling
ALDH1A3,RARG_RXRG_CRABP2,nan,Secreted Signaling
ALDH1A1,RXRA_CRABP2,nan,Secreted Signaling
ALDH1A2,RXRA_CRABP2,nan,Secreted Signaling
ALDH1A3,RXRA_CRABP2,nan,Secreted Signaling
ALDH1A1,RXRB_CRABP2,nan,Secreted Signaling
ALDH1A2,RXRB_CRABP2,nan,Secreted Signaling
ALDH1A3,RXRB_CRABP2,nan,Secreted Signaling
ALDH1A1,RXRG_CRABP2,nan,Secreted Signaling
ALDH1A2,RXRG_CRABP2,nan,Secreted Signaling
ALDH1A3,RXRG_CRABP2,nan,Secreted Signaling
